Plano,Quantidade Propostas,Título Proposta,Descrição Proposta,Link,Votos,Autor
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Pescadores de Saberes: Identidade e Tradição na Pesca Artesanal Baiana,"O projeto visa valorizar os saberes e a identidade cultural das comunidades pesqueiras artesanais da Bahia, promovendo o diálogo entre o conhecimento tradicional e a formação em Engenharia de Pesca. A proposta inclui ações participativas como oficinas, registros culturais e rodas de conversa, fortalecendo a memória coletiva e o protagonismo das comunidades.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57675,0,BRUNO
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Gestão Participativa e Sustentável da Pesca Artesanal: Valorização dos Saberes Tradicionais e Inclusão Social,"A proposta busca garantir uma gestão participativa e sustentável da pesca artesanal no Brasil, valorizando saberes tradicionais e promovendo inclusão social. Defende a participação ativa das comunidades pesqueiras, o fortalecimento de espaços de governança e a integração entre conhecimento científico e tradicional. Além disso, prioriza a equidade de gênero e geração, assegurando que políticas atendam às reais necessidades dos pescadores e pescadoras e a conservação ambiental e justiça social.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57673,0,TAMARA
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Educação Ambiental como Estratégia de Conservação para Redução da Captura de Espécies Ameaçadas,"A proposta visa promover a educação ambiental como medida eficaz para mitigar a captura de espécies ameaçadas, por meio de ações participativas com pescadores artesanais. São realizadas oficinas, palestras, conversas e distribuição de materiais ilustrativos com nomes populares e científicos das espécies protegidas, fortalecendo o conhecimento sobre normas como as leis ambientais e a Portaria nº 445/2014, e incentivando e estimulando o envolvimento ativo das comunidades na gestão pesqueira.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57639,0,Caio Henrique G. Cutrim
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Diagnóstico Produção pesqueira,"Queremos Parceria com entidades dos entes federativos para elaborar um senso exclusivo para a produção pesqueira dos municípios produtores de pescados, tendo em vista a limitação de funcionários nas secretarias municipais de pesca.Somente com dados pesqueiro pode-se criar política públicas eficientes para o referido Setor.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57357,0,MESSIAS
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Educação Financeira para autonomia e gestão do pescado,"Em pesquisa realizada na costa norte do Pará, foi identificado a lacuna de controle financeiro da renda, pelos pescadores. Propõe a criação de um material onde seja possível realizar o controle do pescado, incluindo as variaveis de pesca e comercializaçao, além de outras fontes de renda que o pescador possua. Para isso é preciso desenvolver o material e organizar capacitações. O objetivo é gerar autonomia e melhora na gestão da renda das famílias.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57642,0,ALINE
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Apoio do MPA para realização de cursos de Carteira POP,"Garantir que o MPA dê apoio financeiro para a realização de cursos para a obtenção das
carteiras POP nas comunidades de pescadores e pescadoras artesanais;",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57654,0,LUCAS
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Marinha deve reconhecer as especificidades dos pescadores e pescadoras artesanais,"Exigir que a Marinha do Brasil reconheça as especificidades dos
pescadores e pescadoras artesanais, a fim de adequar as normas relativas à
emissão das carteiras POP na obtenção do RGP, como por exemplo, a
realização de provas orais e cursos regulares itinerantes nas diversas
comunidades de pescadores e pescadoras artesanais;",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57653,0,LUCAS
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Mantendo viva a cultura e identidade da pesca artesanal.,"Criar espaços que aproxime os pescadores mais experientes daqueles mais jovens e os simpatizantes da pesca artesanal. Onde estes possam aprender com os mais experientes sobre a atividade. Com organização de oficinas e cursos de técnicas de pesca e construção de equipamentos de pesca, ministrados por esses pescadores que já carregam um vasto conhecimento prático.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57674,0,CLEITON
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Programa de reparação e apoio psicossocial para pescadores artesanais afetados pela criminalização da pesca tradicional.,5. Criar um programa de reparação e danos psicossociais decorrentes da criminalização da pesca artesanal.,https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57662,0,THIAGO
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Reconhecimento e Fortalecimento da Pesca Artesanal no Submédio São Francisco,"A pesca artesanal no Submédio São Francisco é desassistida, sem dados sobre número de pescadores, volume pescado ou formas de organização social. Essa invisibilidade dificulta o acesso a políticas públicas e compromete a gestão sustentável dos recursos. Dada sua importância cultural e econômica para comunidades tradicionais, a proposta visa promover o reconhecimento, a organização social e a construção participativa de conhecimento sobre a pesca no território.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57657,0,THAILA
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Proteção dos direitos e segurança das comunidades tradicionais por meio de protocolos de abordagem justa e não violenta.,"3. Incentivar e apoiar a construção de rotocolos de abordagem policial por comunidades tradicionais.
4. Articular, junto às Secretarias Estaduais de Segurança Pública e de Meio Ambiente, Infraestrutura e Logística do Estado de São Paulo, o reconhecimento dos direitos das comunidades tradicionais e a adoção de protocolos de abordagem não violenta.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57661,0,THIAGO
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Fiscalização do pescador artesanal,"Concentrar a fiscalização dos pescadores artesanais a um só órgão fiscalizador, pois hoje os Órgãos divergem nos seus entendimento de navegação marítima",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57672,0,CLERIO
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Otimização da interlocução interinstitucional e do fluxo processual para aposentadoria do pescador,"Otimizar os processos de interlocução entre os órgãos, de forma a tornar o processo de aposentadoria do pescador artesanal mais claro e mais fácil, ampliando também o diálogo e a comunicação com o público, para esclarecer ao pescador seus direitos e orientações para obter a sua aposentadoria. Além disso, percebe-se uma dificuldade do INSS em reconhecer os documentos fornecidos no âmbito do processo de aposentadoria.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57668,0,RITA
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Extinção da exigência da CIR para pescadores embarcados,"Extinguir a exigência da CIR para pescadores pescadoras artesanais em
atividade que trabalham embarcados;",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57652,0,LUCAS
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Atenção Integral à Saúde Ginecológica das Mulheres Marisqueiras,"As mulheres marisqueiras desempenham um papel fundamental na pesca artesanal, passando horas em contato direto com a água salgada, enfrentando condições que impactam diretamente sua saúde ginecológica e reprodutiva. No entanto, as políticas públicas de saúde ainda não consideram de forma específica as particularidades desse modo de vida.
Diante disso, propõe-se a criação de uma estratégia de cuidado em saúde ginecológica voltada para as mulheres marisqueiras, considerando seus saberes, seus ter",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57641,0,Vanessa
Plano Nacional da Pesca Artesanal,37 propostas encontradas,"Construindo Pontes: Educação, Extensão e Comunicação para o Fortalecimento das Comunidades Pesqueiras","Defendo uma extensão pesqueira inclusiva, que valorize os saberes tradicionais, promova educação contextualizada, comunicação comunitária e inclusão de jovens e mulheres. Proponho programas formativos alinhados às realidades dos territórios, fortalecimento da pesquisa participativa, redes de comunicação popular e criação de espaços permanentes de diálogo entre comunidades, universidade e sociedade, visando políticas públicas justas e sustentáveis.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57666,0,DAVID
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Emissão das carteirinhas de pesca voltadas para a realidade e identidade da pesca artesanal local,"Atualmente, as emissões das carteirinhas de pesca pelo Registro Geral de Pesca e aprovação da Superintendência Federal de Pesca e Aquicultura do estado para os pescadores e pescadoras artesanais possuem um processo moroso que pode ser resolvido se cada território tiver autonomia para gerir essas carteirinhas, principalmente os territórios dentro de UCs que exigem o RGP em ações de fiscalização para o manejo de algumas espécies. Adequar a carteirinha à identidade/cultura da pesca artesanal local.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57643,0,CIBELLE
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Programa de Tarifa Social da Energia Elétrica e Incentivo a Energia Solar,"Programa para desconto na conta de energia elétrica para pescadores artesanais cadastrados, mediante tarifa social, incluindo tarifa em estabelecimentos da pesca artesanal, para uso de equipamentos de apoio a produção e beneficiamento.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57667,0,RITA
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Reconhecimento e Fortalecimento da Pesca Artesanal no Submédio São Francisco,"A pesca artesanal no Submédio São Francisco é desassistida, sem dados sobre número de pescadores, volume pescado ou formas de organização social. Essa invisibilidade dificulta o acesso a políticas públicas e compromete a gestão sustentável dos recursos. Dada sua importância cultural e econômica para comunidades tradicionais, a proposta visa promover o reconhecimento, a organização social e a construção participativa de conhecimento sobre a pesca no território.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57658,0,THAILA
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Exigência de Carteira POP,"Exigir CIR (POP) somente para os condutores de embarcações
motorizadas.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57651,0,LUCAS
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Flexibilidade para os pescadores,Equilíbrio sustentabilidade e fomento da pesca para que possamos produzir com eficiência garantindo o direito de trabalhar em paz com os órgãos gestores,https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57636,0,Abimael
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Revisão da in 12/2012,"Nós da baia da babitonga localizada em Joinville-sc e itapoa-sc são Francisco do sul -sc
Precisamos que a in12/2012 seja revisada por não consegue com as realidades da baia da babitonga pois hoje estamos de mãos atadas pois a pesca está liberada pra pesca da malha 7mm a malha 14mm entre nós...
Não podemos pescar com rede acima de 14mm e dentro da baia da babitonga a realidade e que nois pescadores necessitamos de malha maiores para pesca da espécies como paru pescada amarela pexereva",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57632,0,ELIZANDRO
Plano Nacional da Pesca Artesanal,37 propostas encontradas,A valorização da cultura pesqueira,"Valorizar a cultura pesqueira é reconhecer sua importância social, econômica, ambiental e historica,promovendo dignidade e protagonismo ás comunidades pesqueiras.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57625,0,CIANE
Plano Nacional da Pesca Artesanal,37 propostas encontradas,"Ampliação do Programa ""Petróleo e os Povos da Pesca Artesanal: Enfrentando o Racismo e a Injustiça Ambiental""","A exploração do pré-sal nas bacias de Campos e Santos deram origem a um cinturão de exclusão, que impacta direta e indiretamente a atividade pesqueira artesanal nos Estados de Espírito Santo, Rio de Janeiro e São Paulo. Além da pressão imobiliária em seus territórios, com a expansão da atividade industrial, os pescadores, muitas vezes inseridos em contextos urbanos, sofrem com a violência do apagamento, contaminação e desterritorialização. A proposta é ampliar o programa para a região Sudeste.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57669,0,RITA
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Pesca artesanal em açudes,Busca diretos para a pesca artesanal em açudes e barragens no semiáridos promovendo politicas pulicas e conhecimento para categoria da pesca artesanal e sua existência,https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57664,0,JOSE
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Comercialização do pescado,"Adequar normas de inspeção e vigilância sanitária às especificidades do sistema da pesca artesanal, a fim de fortalecer circuitos curtos de comercialização e agregação de valor.
Programas de Aquisição de Alimentos para os produtos da pesca artesanal (como peixe na merenda em escolas).
Produção e a oferta de gelo e a construção de câmaras frias e unidades de beneficiamento, agregação de valor e segurança sanitária do pescado.
Sistema de certificação sociocultural para pesca artesanal.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57676,0,MAURICIO
Plano Nacional da Pesca Artesanal,37 propostas encontradas,Programa de Regularização Fundiária dos Territórios Pesqueiros,"Criação de um programa para regularização fundiária, incluindo suas áreas de uso e apoio.",https://brasilparticipativo.presidencia.gov.br/processes/PNPA/f/721/proposals/57670,0,RITA
Não tem o titulo na página,1292 propostas encontradas,Desmatamento zero em todos os Biomas e Reflorestamento com incentivo.,"Decretar moratória de desmatamento zero em todos os biomas para evitar mais emissões de carbono e garantir a manutenção das florestas atuais sem redução. Nesse caso é zero mesmo, sem exeção de casos. Aliado a isso criar política de incentivo ao reflorestamento com espécies nativas em áreas degradadas, garantindo a quem restaure uma renda mínima para fazer esse serviço ambiental e para manter os cuidados necessários à recuperação.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/19313,13,JUELI
Não tem o titulo na página,1292 propostas encontradas,Educação ambiental obrigatória do ensino infantil à faculdade,"Ter a educação ambiental como um tema inserido em diversas disciplinas não está funcionando porque não é passível de nota e, especialmente, porque não é recorrente, mas eventual.
Inseri-la como matéria independente dá a oportunidade de aprofundá-la sobremaneira, explorando o vasto universo que a compõe - e, mais que isso, atestando a sua importância para o futuro do planeta.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/19701,7,Judite Scholz
Não tem o titulo na página,1292 propostas encontradas,Valorização de todos os servidores ambientais nas três esferas de governo.,"Para manter um ambiente melhor para todos, é preciso que haja mais fiscalizações, leis mais rigorosas para os crimes ambientais, maior valorização e respeito aos Agentes de Fiscalização Ambiental, em especial os agentes municipais que conhecem mais de perto os problemas desde os mais simples aos mais complexos.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/19771,6,PAULO GUSTAVO SILVA OLIVEIRA
Não tem o titulo na página,1292 propostas encontradas,Proteção e restauração dos manguezais para maior captura de carbono,"Além dos manguezais serem berços da vida marinha, a captura de carbono é 57% maior neles do que em outras vegetações tropicais. A restauração e proteção integral dos manguezais devem ser prioridade. Urgente que haja criação leis mais específicas e com penas mais severas, a fim de combater a especulação imobiliária, a qual é a principal causa de degradação desse ecossistema tão importante.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/18143,31,Paulo
Não tem o titulo na página,1292 propostas encontradas,"Expansão do Projeto Florestas da Comunhão para Reflorestamento, Conservação de Ecossistemas e Proteção Climática","As Florestas da Comunhão são áreas verdes mantidas por igrejas anglicanas ao redor do mundo para reflorestamento, conservação e restauração de ecossistemas. Com apoio governamental, o projeto pode ser expandido para outras denominações e religiões, ampliando o impacto do cuidado com a Criação. Além de proteger a biodiversidade e sequestrar carbono, promove a noção de pertencimento e a convivência harmoniosa com a Criação, incentivando ações concretas diante da crise climática e ecológica.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/19662,10,GUILHERME
Não tem o titulo na página,1292 propostas encontradas,Preparar o setor da construção civil para criar empreendimentos e casas populares sustentáveis e resilientes,"Criação urgente de protocolo de construções sustentáveis como regra geral para todo o setor da construção civil, bem como cursos de capacitação para o mesmo. Utilização de especificações urbanísticas, de projeto e de obras sustentáveis para a liberação de crédito habitacional nos programas do governo federal dos empreendimentos habitacionais de casas populares. Assim, além da resposta ser sustentável, também seria célere já que já haveria protocolo técnico e empresas aptas a sua utilização.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/19887,11,Marcela
Não tem o titulo na página,1292 propostas encontradas,Santuários ecológicos para as religiões de matriz africana,"Criar *santuários ecológicos* acessíveis a todos, destinados a receber oferendas dos povos de terreiro de matriz africana, com foco na preservação cultural, ambiental e espiritual. Esses espaços devem valorizar as tradições africanas, promover a conservação da biodiversidade, oferecer educação sobre a relação dessas práticas com a natureza e fomentar a interação comunitária. As ações incluem trilhas ecológicas, áreas de educação ambiental, espaços de convivência e práticas sustentáveis.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/19723,13,Clauber Roberto Silva dos Santos
Não tem o titulo na página,1292 propostas encontradas,"Implantação de um sistema subsidiado pelas Cidades, afim de viabilizar um fundo, em preservação de nascentes, córregos e rios mantendo matas ciliares","Criação de um fundo, orindo das cidades, pois maior parte da poluição é produzida nelas, afim de subsidiar os agricultores em manter as fontes, córregos e rios, com mata ciliares, preservado a ´água e como consequência aumentando a biodiversidade do ecosistema",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/18141,16,JUAREZ
Não tem o titulo na página,1292 propostas encontradas,Obrigatoriedade em Lei da implementação de Fóruns estaduais e comissões municipais sobre mudanças climáticas,"Regulamentar a obrigatoriedade de comissões municipais participativas assim como Fóruns estaduais que respeitem e construam uma discussão participativa e colaborativa com a sociedade civil e organizada, academia, ciência, empresas, entre outros grupos sociais, à respeito de mitigação e adaptação à mudança do clima. Exigindo uma organização conjunta entre estado e município, firmada em pilares de transparência, participação, evidências técnicas e científicas, conhecimentos tradicionais e locais.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/19149,44,Lásaro
Não tem o titulo na página,1292 propostas encontradas,Programa de implantação de infraestruturas de Drenagem e Recuperação de Corpos d'Água Canalizados,"Implantar infraestrutura de drenagem de forma integrada, com planejamento baseado em bacias hidrográficas, priorização de áreas periféricas e uso de soluções multiescalares, como Trama Verde e Azul (TVA) e SBN. Implementar tecnologias sociais e alternativas à infraestrutura cinza para recuperação de igarapés e cursos d’água canalizados (canais), focado na renaturalização dos rios, com ênfase na restauração da mata ciliar, protegendo e restaurando habitats aquáticos e terrestres.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/19609,4,LYGIA
Não tem o titulo na página,1292 propostas encontradas,Programa de poio às comunidades religiosas para atuar em defesa das florestas e do desenvolvimento sustentável,"O programa apoiará o desenvolvimento de ações de conscientização e engajamento de comunidades religiosas, de todas as tradições e espiritualidades, na implementação de ações de restauração e conservação dos biomas florestais, com foco na redução do desmatamento, queimadas, proteção da biodiversidade e desenvolvimento de alternativas economicas baseadas no uso sustentável dos produtos da floresta.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/19852,120,CARLOS
Não tem o titulo na página,1292 propostas encontradas,Reflorestamento,"Realizar o plantio de árvores nativas e frutíferas, com muvuca de sementes, no bioma mais ameaçado hoje no Brasil, o Cerrado. As mudas e sementes serão adquiridas direto das comunidades locais. Assim contribuiremos para a regeneração de áreas, permitindo o retorno da vida silvestre, além de trazer uma troca justa com comunidades indígenas e quilombolas.
É preciso reflorestar urgentemente o Cerrado e para isso temos um coletivo de pessoas disposta a encarar de frente esta missão!",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/18097,68,NELSON
Não tem o titulo na página,1292 propostas encontradas,"Instituto Internacional Arayara - Protocolo Dos Povos Indígenas de Adaptação, Resposta e Recuperação em situações de Risco e Desastres","Frente aos desastres climáticos ocorridos recentemente no Brasil, como as chuvas no Sul e a seca no Norte, povos indígenas, com o apoio da Arayara, desenvolveram o Protocolo dos Povos Indígenas para situações extremas. Considerando que eles são grandes defensores do meio ambiente mas estão entre os mais afetados pela crise, é fundamental incluir neste Plano Clima de caráter participativo ações de adaptação, resposta e recuperação voltadas especificamente para esses povos, observando o Protocolo.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/19699,10,LUIZA
Não tem o titulo na página,1292 propostas encontradas,Implantação de agroflorestas urbanas comunitárias,"Por meio da identificação de áreas públicas livres e comunidades engajadas com o propósito, implantar agroflorestas urbanas. A política consistiria em garantir a ocupação da áreas e ofertar insumos e assistência técnica às comunidades mantenedoras.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/19200,8,DENISE P AGUSTINHO
Não tem o titulo na página,1292 propostas encontradas,Obrigatoriedade em ter 15% de permeabilidade em todos os lotes e criação de poços infiltrantes,"A impermeabilização do solo é um dos principais fatores que levam a alagamentos, erosão nos rios e córregos e saturação do sistema de drenagem. É necessário que cada lote se responsabilize por infiltrar grande parte da água da chuva que cai no seu lote.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/17987,15,MATHEUS
Não tem o titulo na página,1292 propostas encontradas,"Incentivo a Fazendas verticais propondo uma redução ao desmatamento, gerando alimentos de qualidade com a redução do uso de agrotóxicos.","As Fazendas verticais já são usadas em alguns países, como Canadá e Japão devido ao espaço ou clima pouco propício. Aqui no Brasil serve como uma redução ao desmatamento, visando diminuir novas áreas de plantios. As Fazendas verticais são climatizadas e o cultivo feito com luzes artificiais, podendo ser utilizado como fonte as energias solar ou eólica, minimizando o gasto. Plantios mais controlados, com o mínimo ou mesmo sem uso de agrotóxicos. Para o alto e avante!🦸🏻",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/19917,"1
voto",LUIZ
Não tem o titulo na página,1292 propostas encontradas,Inclusão educacional científico,"Para termos uma melhora na educação brasileira e um alto conhecimento técnico e científico, temos que olhar para outros meios de educação, além de apenas os professores em sala de aula.
Uma das formas seria dar aula através de computadores ou até jogos como o Minecraft Education, onde permite aprender sobre diversos temas como: Ciências da computação, viver em sociedade e sobre a biodiversidade apenas jogando.
Tem que utilizar esses programas de forma didática. Começando pelo ensino infantil.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/19292,3,JOAO
Não tem o titulo na página,1292 propostas encontradas,Consórcios Municipais para Ações de Adaptação às Mudanças Climáticas,"Os Consórcios Municipais para Ações de Adaptação às Mudanças Climáticas se configuram como uma ferramenta poderosa para fortalecer a resiliência regional e garantir o futuro sustentável das cidades, ´principalmente das cidades pequenas com pouco efetivo institucional. Através da colaboração técnica e financeira, municípios podem agir em conjunto de forma transfronteiriça aos desafios climáticos e construir um futuro mais próspero e seguro para seus cidadãos.",https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/18154,26,Erick
Não tem o titulo na página,1292 propostas encontradas,Negro e a Raiz Da liberdade,Vivendo cada dia apos dia em um país onde o racismo insiste em ser restabelecido em pleno século XXI onde nois da população negra passamos diariamente por diversos tipos de racismo em escolas transporte públicos shopping trabalho em todo o país temos relatos de racismo em todos os seguimentos,https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/85/proposals/17980,6,ROBERTO
